DEPARTMENT,,,,"JUNE 
FY19 ACTUAL","JUNE 
FY20 ACTUAL","actual vs.
prior yr","JUNE 
FY20 ESTIMATE",actual vs. estimate,"YTD
FY19 ACTUAL",,"YTD
FY20 ACTUAL",,"actual vs.
prior yr","YTD 
FY20 ESTIMATE",,actual vs. estimate,"FY20 
APPROPRIATION"
EXECUTIVE ,,,,"1,174,840","387,976,775","33,024%","105,311,142",368%,"36,950,824",,"446,920,556",,"1,210%","1,284,277,613",,35%,"1,284,277,613"
EXECUTIVE COUNCIL,,,,"15,638","17,987",115%,"26,694",67%,"199,016",,"242,913",,122%,"242,913",,100%,"242,913"
FISH AND GAME ,,,,"3,793,015","3,401,530",90%,"3,820,972",89%,"35,292,598",,"30,234,412",,86%,"30,397,469",,99%,"30,397,469"
HHS: COMMISSIONER'S OFFICE,,,,"278,506,054","339,773,525",122%,"305,761,938",111%,"2,853,037,934",,"2,995,651,805",,105%,"3,275,299,607",,91%,"3,275,299,607"
INFORMATION TECHNOLOGY ,,,,"7,684,263","9,911,322",129%,"9,720,624",102%,"83,601,053",,"91,059,134",,109%,"91,084,158",,100%,"91,084,158"
INSURANCE ,,,,"944,798","979,842",104%,"1,322,240",74%,"11,178,638",,"10,651,381",,95%,"11,033,756",,97%,"11,033,756"
JUDICIAL BRANCH,,,,"7,541,640","10,434,073",138%,"8,306,036",126%,"91,007,185",,"92,461,480",,102%,"96,656,637",,96%,"96,656,637"
JUDICIAL COUNCIL,,,,"777,312","609,426",78%,"2,855,455",21%,"31,078,724",,"31,994,632",,103%,"32,081,856",,100%,"32,081,856"
JUSTICE ,,,,"3,125,969","5,313,843",170%,"4,036,456",132%,"39,890,623",,"47,780,792",,120%,"50,898,654",,94%,"50,898,654"
LABOR ,,,,"1,095,045","730,085",67%,"2,433,346",30%,"26,276,669",,"25,187,716",,96%,"25,187,716",,100%,"25,187,716"
LEGISLATIVE BRANCH,,,,"1,460,531","1,486,503",102%,"3,095,373",48%,"18,071,523",,"17,802,659",,99%,"33,373,739",,53%,"33,373,739"
LIQUOR COMMISSION,,,,"6,204,179","9,630,871",155%,"6,943,744",139%,"74,140,522",,"80,882,810",,109%,"81,710,100",,99%,"81,710,100"
LOTTERY COMMISSION,,,,"931,997","1,029,799",110%,"977,678",105%,"9,003,958",,"9,264,525",,103%,"9,470,905",,98%,"9,470,905"
MILITARY AFFRS & VET SVCS ,,,,"1,800,500","2,160,560",120%,"1,937,270",112%,"23,795,921",,"24,794,911",,104%,"24,679,599",,100%,"24,679,599"
NATURAL & CULT RESOURCES ,,,,"5,366,848","4,050,725",75%,"7,715,065",53%,"51,900,538",,"49,346,547",,95%,"60,293,433",,82%,"60,293,433"
PEASE DEVELOPMENT AUTHORITY,,,,"73,954","101,148",137%,"754,552",13%,"573,073",,"843,011",,147%,"8,832,740",,10%,"8,832,740"
POLICE STDS & TRAINING COUNCIL,,,,"264,325","203,533",77%,"256,187",79%,"3,339,791",,"2,778,308",,83%,"2,894,154",,96%,"2,894,154"
PROF LICENSURE & CERT OFFICE,,,,"1,073,919","1,638,468",153%,"1,165,441",141%,"9,743,255",,"11,659,465",,120%,"12,017,658",,97%,"12,017,658"
PUBLIC EMPLOYEE LABOR REL BRD,,,,"32,615","34,726",106%,"35,373",98%,"447,249",,"467,163",,104%,"467,163",,100%,"467,163"
PUBLIC UTILITIES COMMISSION,,,,"5,985,766","6,348,950",106%,"6,573,268",97%,"30,945,286",,"32,208,254",,104%,"36,681,691",,88%,"36,681,691"
RETIREMENT SYSTEM,,,,"672,468","810,387",121%,"920,730",88%,"12,614,593",,"9,963,347",,79%,"12,109,550",,82%,"12,109,550"
REVENUE ADMINISTRATION ,,,,"2,110,551","323,942,907","15,349%","35,236,166",919%,"19,102,669",,"341,429,245",,"1,787%","419,367,449",,81%,"419,367,449"
SAFETY ,,,,"20,478,305","20,060,959",98%,"29,574,138",68%,"184,584,016",,"177,334,963",,96%,"221,578,626",,80%,"221,578,626"
STATE ,,,,"1,068,963","991,215",93%,"1,311,297",76%,"10,692,201",,"11,073,051",,104%,"11,457,217",,97%,"11,457,217"
TAX & LAND APPEALS BOARD,,,,"81,761","92,671",113%,"94,874",98%,"830,184",,"957,128",,115%,"957,128",,100%,"957,128"
TRANSPORTATION ,,,,"48,647,915","65,476,686",135%,"116,433,797",56%,"629,709,646",,"644,474,588",,102%,"1,382,175,917",,47%,"1,382,175,917"
TREASURY ,,,,"26,962,826","41,752,556",155%,"29,377,664",142%,"203,133,402",,"231,567,152",,114%,"256,664,219",,90%,"256,664,219"
UNIVERSITY SYSTEM OF NH,,,,"6,750,000","7,250,000",107%,"7,875,000",92%,"81,000,000",,"94,500,000",,117%,"94,500,000",,100%,"94,500,000"
VETERANS HOME,,,,"2,552,209","2,899,366",114%,"2,576,431",113%,"32,449,081",,"31,790,660",,98%,"31,917,987",,100%,"31,917,987"
VETERANS SERVICES OFFICE,,,,"56,816",0,0%,0,0%,"630,063",,0,,0%,0,,0%,0
STATE TOTALS,,,,"517,095,331","1,352,897,166",262%,"913,758,484",148%,"6,431,578,445",,"7,474,111,803",,116%,"9,851,111,318",,76%,"9,851,111,318"
