DEPARTMENT,,,,"JUNE 
FY17 ACTUAL","JUNE 
FY18 ACTUAL","actual vs.
prior yr","JUNE 
FY18 ESTIMATE",actual vs. estimate,"YTD
FY17 ACTUAL",,"YTD
FY18 ACTUAL",,"actual vs.
prior yr","YTD 
FY18 ESTIMATE",,actual vs. estimate,FY18 APPROPRIATION
REAL ESTATE COMMISSION,,,,0,0,0%,0,0%,0,,0,,0%,0,,0%,0
RETIREMENT SYSTEM,,,,"739,764","644,667",87%,"859,568",75%,"7,761,199",,"7,546,550",,97%,"8,499,759",,89%,"8,499,759"
REVENUE ADMINISTRATION ,,,,"2,669,465","2,491,871",93%,"2,273,192",110%,"18,344,282",,"18,356,736",,100%,"18,356,736",,100%,"18,356,736"
SAFETY ,,,,"18,092,825","18,524,201",102%,"26,173,703",71%,"163,108,335",,"173,744,768",,107%,"238,013,140",,73%,"238,013,140"
STATE ,,,,"1,408,248","938,916",67%,"1,560,670",60%,"9,462,459",,"9,505,415",,100%,"9,836,464",,97%,"9,836,464"
TAX & LAND APPEALS BOARD,,,,"75,889","67,668",89%,"75,909",89%,"926,343",,"903,377",,98%,"903,377",,100%,"903,377"
TRANSPORTATION ,,,,"67,077,677","68,277,949",102%,"232,380,560",29%,"638,779,541",,"647,225,176",,101%,"1,433,324,047",,45%,"1,433,324,047"
TREASURY ,,,,"49,315,965","24,697,026",50%,"56,466,517",44%,"198,842,558",,"198,122,732",,100%,"202,782,811",,98%,"202,782,811"
UNIVERSITY SYSTEM OF NH,,,,"6,750,000","6,750,000",100%,"6,750,000",100%,"81,000,000",,"81,000,000",,100%,"81,000,000",,100%,"81,000,000"
VETERANS HOME,,,,"2,515,201","2,504,538",100%,"2,747,602",91%,"31,700,523",,"31,205,662",,98%,"35,056,343",,89%,"35,056,343"
VETERANS SERVICES OFFICE,,,,"35,971","42,678",119%,"52,874",81%,"489,324",,"549,008",,112%,"549,008",,100%,"549,008"
STATE TOTALS,,,,"492,467,085","499,571,901",101%,"799,084,803",63%,"6,176,736,413",,"6,311,824,827",,102%,"7,573,334,440",,83%,"7,573,334,440"
