DEPARTMENT,"JUNE 
FY16 ACTUAL","JUNE 
FY17 ACTUAL","actual vs.
prior yr","JUNE 
FY17 ESTIMATE",actual vs. estimate,"YTD
FY16 ACTUAL","YTD
FY17 ACTUAL","actual vs.
prior yr","YTD 
FY17 ESTIMATE",actual vs. estimate,FY17 APPROPRIATION
PROF LICENSURE & CERT OFFICE,"740,089","788,916",107%,"778,501",101%,"6,921,962","7,383,199",107%,"7,455,625",99%,"7,455,625"
PUBLIC EMPLOYEE LABOR REL BRD,"29,852","29,904",100%,"34,289",87%,"407,272","428,234",105%,"428,234",100%,"428,234"
PUBLIC UTILITIES COMMISSION,"6,313,965","4,419,492",70%,"7,040,454",63%,"41,708,693","30,353,954",73%,"50,274,370",60%,"50,274,370"
RACING CHARITABLE GAMING COMM,0,0,0%,0,0%,86,0,0%,0,0%,0
REAL ESTATE APPRAISER BOARD,0,0,0%,0,0%,0,0,0%,0,0%,0
REAL ESTATE COMMISSION,0,0,0%,0,0%,"15,511",0,0%,0,0%,0
RETIREMENT SYSTEM,"664,901","739,764",111%,"725,989",102%,"7,167,012","7,761,199",108%,"7,761,199",100%,"7,761,199"
REVENUE ADMINISTRATION ,"2,390,157","2,669,465",112%,"1,755,190",152%,"18,360,279","18,344,282",100%,"18,344,282",100%,"18,344,282"
SAFETY ,"16,388,375","18,092,825",110%,"23,406,696",77%,"166,175,365","163,108,335",98%,"207,879,084",78%,"207,879,084"
STATE ,"950,016","1,408,248",148%,"968,802",145%,"10,265,399","9,462,459",92%,"9,610,235",98%,"9,610,235"
TAX & LAND APPEALS BOARD,"81,026","75,889",94%,"84,619",90%,"875,580","926,343",106%,"926,343",100%,"926,343"
TRANSPORTATION ,"50,190,854","67,077,677",134%,"165,750,760",40%,"584,431,385","638,779,541",109%,"1,541,065,123",41%,"1,541,065,123"
TREASURY ,"3,743,057","49,315,965",1318%,"10,410,705",474%,"201,206,962","198,842,558",99%,"198,978,182",100%,"198,978,182"
UNIVERSITY SYSTEM OF NH,"6,750,000","6,750,000",100%,"6,750,000",100%,"81,000,000","81,000,000",100%,"81,000,000",100%,"81,000,000"
VETERANS HOME,"2,646,569","2,515,201",95%,"2,885,644",87%,"29,914,637","31,700,523",106%,"31,846,638",100%,"31,846,638"
VETERANS SERVICES OFFICE,"48,374","35,971",74%,"50,193",72%,"513,814","489,324",95%,"489,324",100%,"489,324"
STATE TOTALS,"456,542,494","492,467,085",108%,"760,588,664",65%,"5,922,827,852","6,176,736,413",104%,"7,609,597,111",81%,"7,609,597,111"
