DEPARTMENT,,,,"JUNE 
FY18 ACTUAL","JUNE 
FY19 ACTUAL","actual vs.
prior yr","JUNE 
FY19 ESTIMATE",actual vs. estimate,"YTD
FY18 ACTUAL",,"YTD
FY19 ACTUAL",,"actual vs.
prior yr","YTD 
FY19 ESTIMATE",,actual vs. estimate,"FY19 
APPROPRIATION"
EXECUTIVE ,,,,"1,468,965","1,174,840",80%,"1,792,103",66%,"34,336,335",,"36,950,824",,108%,"38,058,732",,97%,"38,058,732"
EXECUTIVE COUNCIL,,,,"14,866","15,638",105%,"14,877",105%,"252,152",,"199,016",,79%,"199,016",,100%,"199,016"
FISH AND GAME ,,,,"6,082,181","3,793,015",62%,"6,671,006",57%,"32,225,477",,"35,292,598",,110%,"35,296,682",,100%,"35,296,682"
HHS: COMMISSIONER'S OFFICE,,,,"250,269,330","278,506,054",111%,"280,687,726",99%,"2,809,634,775",,"2,853,037,934",,102%,"2,995,259,104",,95%,"2,995,259,104"
HUMAN RIGHTS COMMISSION,,,,"68,811","56,101",82%,"74,662",75%,"592,765",,"587,974",,99%,"590,716",,100%,"590,716"
INFORMATION TECHNOLOGY ,,,,"6,707,039","7,684,263",115%,"7,483,352",103%,"73,286,862",,"83,601,053",,114%,"83,601,053",,100%,"83,601,053"
INSURANCE ,,,,"1,120,192","944,798",84%,"1,010,583",93%,"11,442,032",,"11,178,638",,98%,"11,405,564",,98%,"11,405,564"
JUDICIAL BRANCH,,,,"10,224,028","7,541,640",74%,"10,978,560",69%,"87,380,210",,"91,007,185",,104%,"92,663,934",,98%,"92,663,934"
JUDICIAL COUNCIL,,,,"678,537","777,312",115%,"2,754,405",28%,"29,471,720",,"31,078,724",,105%,"31,078,724",,100%,"31,078,724"
JUSTICE ,,,,"2,854,393","3,069,868",108%,"3,311,002",93%,"38,194,278",,"39,302,649",,103%,"40,983,942",,96%,"40,983,942"
LABOR ,,,,"1,052,346","1,095,045",104%,"2,533,697",43%,"27,033,804",,"26,276,669",,97%,"26,276,669",,100%,"26,276,669"
LEGISLATIVE BRANCH,,,,"1,243,276","1,460,531",117%,"2,433,859",60%,"16,750,200",,"18,071,523",,108%,"30,359,418",,60%,"30,359,418"
LIQUOR COMMISSION,,,,"5,728,646","6,204,179",108%,"7,073,318",88%,"70,381,241",,"74,140,522",,105%,"74,700,340",,99%,"74,700,340"
LOTTERY COMMISSION,,,,"1,030,235","931,997",90%,"1,120,260",83%,"8,941,030",,"9,003,958",,101%,"9,180,338",,98%,"9,180,338"
NATURAL & CULT RESOURCES ,,,,"5,516,221","5,366,848",97%,"6,950,618",77%,"47,748,305",,"51,900,538",,109%,"57,342,906",,91%,"57,342,906"
PEASE DEVELOPMENT AUTHORITY,,,,"45,477","73,954",163%,"50,368",147%,"513,983",,"573,073",,111%,"573,073",,100%,"573,073"
POLICE STDS & TRAINING COUNCIL,,,,"242,752","264,325",109%,"272,414",97%,"3,414,114",,"3,339,791",,98%,"3,339,791",,100%,"3,339,791"
PROF LICENSURE & CERT OFFICE,,,,"978,753","1,073,919",110%,"1,215,387",88%,"7,351,369",,"9,743,255",,133%,"10,008,114",,97%,"10,008,114"
PUBLIC EMPLOYEE LABOR REL BRD,,,,"31,206","32,615",105%,"32,411",101%,"433,808",,"447,249",,103%,"447,249",,100%,"447,249"
PUBLIC UTILITIES COMMISSION,,,,"6,051,376","5,985,766",99%,"7,142,009",84%,"31,362,005",,"30,945,286",,99%,"35,875,039",,86%,"35,875,039"
RETIREMENT SYSTEM,,,,"644,667","672,468",104%,"1,176,256",57%,"7,546,550",,"12,614,593",,167%,"12,614,593",,100%,"12,614,593"
REVENUE ADMINISTRATION ,,,,"2,491,871","2,110,551",85%,"2,619,128",81%,"18,356,736",,"19,102,669",,104%,"19,102,669",,100%,"19,102,669"
SAFETY ,,,,"18,524,201","20,478,305",111%,"26,332,289",78%,"173,744,768",,"184,584,016",,106%,"226,178,141",,82%,"226,178,141"
STATE ,,,,"938,916","1,068,051",114%,"1,413,251",76%,"9,505,415",,"10,689,130",,112%,"10,888,142",,98%,"10,888,142"
TAX & LAND APPEALS BOARD,,,,"67,668","81,761",121%,"62,553",131%,"903,377",,"830,184",,92%,"830,184",,100%,"830,184"
TRANSPORTATION ,,,,"68,277,949","48,647,915",71%,"158,233,486",31%,"647,225,176",,"629,709,646",,97%,"1,407,294,756",,45%,"1,407,294,756"
TREASURY ,,,,"24,697,026","26,962,826",109%,"30,828,715",87%,"198,122,732",,"202,961,092",,102%,"202,961,092",,100%,"202,961,092"
UNIVERSITY SYSTEM OF NH,,,,"6,750,000","6,750,000",100%,"6,750,000",100%,"81,000,000",,"81,000,000",,100%,"81,000,000",,100%,"81,000,000"
VETERANS HOME,,,,"2,504,538","2,552,209",102%,"2,698,776",95%,"31,205,662",,"32,449,081",,104%,"32,504,591",,100%,"32,504,591"
VETERANS SERVICES OFFICE,,,,"42,678","56,816",133%,"87,696",65%,"549,008",,"630,063",,115%,"630,063",,100%,"630,063"
STATE TOTALS,,,,"499,571,901","517,095,331",104%,"763,522,803",68%,"6,311,824,827",,"6,431,578,445",,102%,"7,649,197,011",,84%,"7,649,197,011"
